occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,genus,lng,lat,formation,stratgroup,member,lithdescript,lithology1,lithification1,minor_lithology1,lithology2,lithification2,minor_lithology2,environment
139291,occ,38040,,11916,Albertosaurus sarcophagus,species,56319,,Albertosaurus sarcophagus,species,56319,Early Maastrichtian,,70.6,66,76179,Albertosaurus,-112.934799,51.928299,Horseshoe Canyon,Edmonton,Tolman,,sandstone,,,,,,terrestrial indet.
139292,occ,22878,,11917,Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,Late Maastrichtian,,70.6,66,4218,Tyrannosaurus,-113.0289,51.906399,Scollard,,,"""concretionary zone in the basal part of a channel sandstone""",sandstone,,,,,,"""channel"""
139293,occ,,,11918,cf. Tyrannosaurus rex,species,54833,,Tyrannosaurus rex,species,54833,Late Maastrichtian,,70.6,66,4205,Tyrannosaurus,-113.23333,51.933334,Scollard,Edmonton,,,sandstone,lithified,,,,,terrestrial indet.
139295,occ,25241,,11920,Theropoda indet.,unranked clade,91970,,Theropoda,unranked clade,38513,Hettangian,Sinemurian,201.3,190.8,36780,,-72.633331,41.566666,Portland,Agawam,,"a reddish brown arkosic sandstone...adhering to the surface of the block are traces of a soft red shale.\r\n""The lower portion of the slab, including the bone casts, consists of planar- laminated, fine- to coarse-grained, arkosic sandstone above which are three graded-bedding sequences. The underlying bed was composed of mud, as indicated by the thin shaly layers adhering to the underside of the slab near the bone casts. A mud lamina is exposed on one side of the slab as well.""",sandstone,lithified,,mudstone,poorly lithified,,terrestrial indet.
139340,occ,,,11931,n. gen. Ankylosaurus n. sp. magniventris,species,52793,,Ankylosaurus magniventris,species,52793,Late Maastrichtian,,70.6,66,4210,Ankylosaurus,-106.569901,47.637699,Hell Creek,,,,not reported,,,,,,terrestrial indet.
144307,occ,22890,,12584,Bistahieversor sealeyi,species,163808,,Bistahieversor sealeyi,species,163808,Late Campanian,,83.5,70.6,32137,Bistahieversor,-107.966393,36.06028,Fruitland,,,none given,not reported,,,,,,terrestrial indet.
149592,occ,,,13212,n. gen. Creosaurus n. sp. atrox,species,52970,subjective synonym of,Allosaurus fragilis,species,52962,Kimmeridgian,Tithonian,157.3,145,7813,Allosaurus,-106.041,41.893101,Morrison,,Brushy Basin,,claystone,,,,,,wet floodplain
149596,occ,,,13214,Creosaurus atrox,species,52970,subjective synonym of,Allosaurus fragilis,species,52962,Kimmeridgian,Tithonian,157.3,145,4387,Allosaurus,-106.389999,42.035831,Morrison,,,,not reported,,,,,,terrestrial indet.
149981,occ,,,13279,n. gen. Scutellosaurus n. sp. lawleri,species,67088,,Scutellosaurus lawleri,species,67088,Sinemurian,Pliensbachian,199.3,182.7,4405,Scutellosaurus,-111.027779,35.679169,Kayenta,Glen Canyon,Silty Facies,"Fluvial sandstones, silts and claystones, predominately red in color. There are also local deposits of silicified limestones, and clay pellet conglomerates. These sediments are characteristically flat-bedded and in places they show cross-laminations. Moreover it is obvious that sand dunes occurred in the western and northwestern extend of the exposures...Two facies are recognized...at its type locality, a sandstone facies...to the southwest [it] increases rapidly in thickness and silt content. About 75 miles southwest of Kayenta...the formation is represented by a silty facies which is markedly different in outcrop character from the sandstone facies.",siltstone,,,sandstone,lithified,silty,wet floodplain
149982,occ,,,13280,Scutellosaurus lawleri,species,67088,,Scutellosaurus lawleri,species,67088,Sinemurian,Pliensbachian,199.3,182.7,4405,Scutellosaurus,-111.073608,35.736668,Kayenta,Glen Canyon,Silty Facies,"Fluvial sandstones, silts and claystones, predominately red in color. There are also local deposits of silicified limestones, and clay pellet conglomerates. These sediments are characteristically flat-bedded and in places they show cross-laminations. Moreover it is obvious that sand dunes occurred in the western and northwestern extend of the exposures...Two facies are recognized...at its type locality, a sandstone facies...to the southwest [it] increases rapidly in thickness and silt content. About 75 miles southwest of Kayenta...the formation is represented by a silty facies which is markedly different in outcrop character from the sandstone facies.",sandstone,lithified,,sandstone,lithified,silty,wet floodplain
150093,occ,,,18597,Phalacrocorax n. sp. subvolans,species,53350,recombined as,Anhinga subvolans,species,53350,Hemingfordian,,20.43,15.97,4414,Anhinga,-82.599998,29.700001,Alachua,,,,sandstone,,calcareous,claystone,,,terrestrial indet.
150094,occ,,,18597,Proictinia n. sp. floridana,species,53301,recombined as,Promilio floridanus,species,53301,Hemingfordian,,20.43,15.97,4414,Promilio,-82.599998,29.700001,Alachua,,,,sandstone,,calcareous,claystone,,,terrestrial indet.
150133,occ,,,13296,Buteo n. sp. fluviaticus,species,100015,,Buteo fluviaticus,species,100015,Orellan,,33.9,33.3,4415,Buteo,-104.866669,40.900002,White River,,,,not reported,,,,,,terrestrial indet.
150134,occ,,,13297,n. gen. Hadrogyps n. sp. aigialeus,species,53351,,Hadrogyps aigialeus,species,53351,Langhian,,15.97,13.82,4416,Hadrogyps,-118.5,35.299999,Temblor,,Round Mountain,,siltstone,,,,,,shoreface
150137,occ,,,13300,Praemancalla n. sp. wetmorei,species,145757,recombined as,Miomancalla wetmorei,species,145757,Tortonian,,11.62,7.246,4418,Miomancalla,-117.712219,33.561943,Monterey,,,"Type locality LACM 6906 ""in yellow sands and laminated gray shale""\r\nLACM locality 6902 ""in coarse yellow sand overlying laminated gray shale""\r\nLACM locality 3185 ""in coarse yellow sand""",sandstone,,,"""shale""",,,basinal (siliciclastic)
150138,occ,,,13301,Ichthyornis cf. dispar,species,54877,,Ichthyornis dispar,species,54877,Early Coniacian,Early Campanian,89.3,70.6,4419,Ichthyornis,-101,39,Niobrara,Colorado,,,not reported,,,,,,marine indet.
150139,occ,,,13301,Hesperornis sp.,genus,36620,,Hesperornis,genus,36620,Early Coniacian,Early Campanian,89.3,70.6,4419,Hesperornis,-101,39,Niobrara,Colorado,,,not reported,,,,,,marine indet.
150156,occ,,,13312,n. gen. Alexornis n. sp. antecedens,species,53319,,Alexornis antecedens,species,53319,Santonian,,86.3,83.6,4423,Alexornis,-115.73333,30.049999,La Bocana Roja,,,,not reported,,,,,,terrestrial indet.
150849,occ,,,13409,Megalosaurus n. sp. wetherilli,species,55479,recombined as,Dilophosaurus wetherilli,species,55479,Sinemurian,Pliensbachian,199.3,182.7,13844,Dilophosaurus,-110.32,36.145279,Kayenta,Glen Canyon,Silty Facies,"""purplish blocky shale"" within Kayenta. Formation overall is the ""silty facies"" portion, gray and brownish, fine-grained sediments.","""shale""",,,siltstone,,,terrestrial indet.
150850,occ,,,13410,Megalosaurus wetherilli,species,55479,recombined as,Dilophosaurus wetherilli,species,55479,Sinemurian,Pliensbachian,199.3,182.7,13844,Dilophosaurus,-110.300003,36.099998,Kayenta,Glen Canyon,Silty Facies,"""purplish blocky shale"" within Kayenta. Formation overall is the ""silty facies"" portion, gray and brownish, fine-grained sediments.","""shale""",,,siltstone,,,terrestrial indet.
219975,occ,,,22648,Creosaurus atrox,species,52970,subjective synonym of,Allosaurus fragilis,species,52962,Kimmeridgian,Tithonian,157.3,145,13098,Allosaurus,-106.048615,42.017776,Morrison,,Lake Como,"ETE rock type adj: ""whte,brn,gray"", ETE lithology comments: ""crse,clastic+snd lens""",sandstone,,,,,,coarse channel fill
219994,occ,,,22653,Theropoda indet.,unranked clade,38513,,Theropoda,unranked clade,38513,Campanian,,83.6,72.1,5724,,-113.75,48.633301,Two Medicine,Montana,,"""The 0.4–1.5 m thick bonebed stratum is a structureless clast- to matrix-supported conglomerate...The bonebed matrix consists of a poorly sorted mixture of medium- to fine-grained sand, silt, and clay...The bone-bearing deposit overlies primarily fine-grained, ripple cross-laminated sandstone and massive mudrock and is overlain by interbedded micrite and sandy, dark gray to green mudrock.""",conglomerate,,"silty,sandy",sandstone,,,"""floodplain"""
220058,occ,,,22678,Allosaurus sp.,genus,38590,,Allosaurus,genus,38590,Late Kimmeridgian,Tithonian,155.7,145,5760,Allosaurus,-108.199997,43.630001,Morrison,,,,"""siliciclastic""",,,,,,crevasse splay
220099,occ,,,22689,Troodon formosus,species,54818,,Troodon formosus,species,54818,Campanian,,83.6,72.1,5724,Troodon,-113.75,48.633301,Two Medicine,Montana,,ETE rock type adj: silty,mudstone,,silty,,,,lacustrine indet.
220100,occ,33242,,22689,Daspletosaurus horneri,species,351539,,Daspletosaurus horneri,species,351539,Campanian,,83.6,72.1,62031,Daspletosaurus,-113.75,48.633301,Two Medicine,Montana,,ETE rock type adj: silty,mudstone,,silty,,,,lacustrine indet.
220108,occ,,,22691,Theropoda indet.,unranked clade,38513,,Theropoda,unranked clade,38513,Campanian,,83.6,72.1,5724,,-112.701118,48.479202,Two Medicine,Montana,,"ETE rock type adj: silty, ETE lithology comments: .",mudstone,,silty,,,,fluvial indet.
220162,occ,,,22711,Allosaurus sp.,genus,38590,,Allosaurus,genus,38590,Tithonian,,152.1,145,15179,Allosaurus,-109.205833,40.423611,Morrison,,Brushy Basin,"""mud slurry deposit""",mudstone,,,,,,crevasse splay
220164,occ,,,22711,Stegosaurus sp.,genus,38814,,Stegosaurus,genus,38814,Tithonian,,152.1,145,15179,Stegosaurus,-109.205833,40.423611,Morrison,,Brushy Basin,"""mud slurry deposit""",mudstone,,,,,,crevasse splay
